년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
21-Apr,서귀포시,남원읍,육류 소매업,여성,270,12287080,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,일반유흥 주점업,여성,11,2500000,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,일식 음식점업,남성,353,31717100,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,일식 음식점업,법인,156,19587000,,,,2021-07-26
21-Apr,서귀포시,남원읍,일식 음식점업,여성,232,18939900,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,전시 및 행사 대행업,남성,1076,30466000,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,전시 및 행사 대행업,법인,182,7817300,,,,2021-07-26
21-Apr,서귀포시,남원읍,전시 및 행사 대행업,여성,1206,35528300,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,중식 음식점업,남성,469,10716000,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,중식 음식점업,법인,171,5386000,,,,2021-07-26
21-Apr,서귀포시,남원읍,중식 음식점업,여성,212,5377500,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,차량용 가스 충전업,남성,100,8727230,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,차량용 가스 충전업,법인,72,13502130,,,,2021-07-26
21-Apr,서귀포시,남원읍,차량용 가스 충전업,여성,89,7693280,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,차량용 주유소 운영업,남성,4769,213639389,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,차량용 주유소 운영업,법인,1122,91135212,,,,2021-07-26
21-Apr,서귀포시,남원읍,차량용 주유소 운영업,여성,1571,75768414,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,체인화 편의점,남성,8265,93957750,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,대륜동,기타음식료품위주종합소매업,남성,2840,83005310,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,남원읍,체인화 편의점,법인,1138,15699320,,,,2021-07-26
21-Apr,서귀포시,남원읍,빵 및 과자류 소매업,남성,562,7217720,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,체인화 편의점,여성,3628,38845600,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,257,3605300,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",법인,50,950700,,,,2021-07-26
21-Apr,서귀포시,남원읍,일반유흥 주점업,남성,93,23285000,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,육류 소매업,법인,120,20578890,,,,2021-07-26
21-Apr,서귀포시,남원읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,257,3392000,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,한식 음식점업,법인,2372,118606200,,,,2021-07-26
21-Apr,서귀포시,남원읍,화장품 및 방향제 소매업,남성,63,1573100,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,화장품 및 방향제 소매업,법인,9,533200,,,,2021-07-26
